name,description,focus_areas,website,logo_url
Munich eSports,"Whether casual gaming or competitive play, the club brings gamers and e-sports fans together with weekly sessions, public viewings of tournaments, and both online and offline events for those who love gaming together.",Culture & the Arts,https://munich-esports.de/,https://www.tum.de/fileadmin/user_upload_87/_processed_/d/e/csm_MunichEsports_3_best_1adb76fdbc.webp
Muslim Student Initiative at TUM,"The MSI represents Muslim students, supports daily university life, and fosters intercultural exchange on campus through diverse events. All students are warmly welcome to join!",Religious & Spiritual,https://www.muslimischestudenteninitiative.de/ueber-uns,
Münchner Uni Schafkopf Club,The group focuses on the Bavarian cult card game Schafkopf and other games like Watten. Members meet regularly on campus to play socially. Future plans include tournaments and courses to teach everyone how to play Schafkopf.,Culture & the Arts,https://discord.gg/4hJ6PrGD7J,
Nachhoelzer,"A student initiative strengthening life at TUM. With a consumption-free space on the main campus, it offers a place for exchange and funds educational and cultural events – open to all, accessible, and community-driven.",Social & Diversity,https://www.instagram.com/nachhoelzer/,
Nautum,The interdisciplinary team at Nautum is developing TUM’s first autonomous underwater vehicle (AUV) as part of the “Argos Panoptes” project.,,https://www.nautum.de,
Neurodiversitum,"The initiative supports neurodivergent students at TUM. It connects members, creates safe spaces, raises awareness, and advocates for student rights to help foster equal opportunities, inclusion, and a supportive campus community.",Academic & Education|Social & Diversity,https://www.linkedin.com/company/neurodiversitum-student-club,https://www.tum.de/fileadmin/_processed_/c/1/csm_Neurodiversitum_ad6c02c6a1.webp
Nightline München,"Listening hotline – by students, for students. Volunteer students answer the calls, offering a listening ear and support to their fellow students.",Social & Diversity|Sustainability & Health,https://nightlinemuenchen.wordpress.com/,
Nucleate Germany,"Nucleate Germany connects the next generation of biotech leaders worldwide. Through free programs and workshops, the club supports startup creation and links research, industry, and investors.",Business & Entrepreneurship|Academic & Education,https://nucleate.org/locations/germany/,https://www.tum.de/fileadmin/user_upload_87/_processed_/7/4/csm_Nucleate_1_best_ae9a754307.webp
Odonatum,The team is developing a bionic drone inspired by the flight of the dragonfly. Members conduct research in fields ranging from bionics and control software to gear mechanics.,Technology & Research,https://odonatum.com/,https://www.tum.de/fileadmin/user_upload_87/_processed_/c/5/csm_16-9-WhatsApp_Image_2025-11-04_at_14.35.45_c349ecbe_bc3009b3c2.webp
OneAIM,"Students develop practical MedTech innovations. OneAIM combines medicine, engineering, and coding with exclusive workshops and direct industry exchange – perfect for those shaping the future of healthcare.",Technology & Research|Business & Entrepreneurship,https://www.one-aim.org/,https://www.tum.de/fileadmin/user_upload_87/_processed_/2/f/csm_OneAIM_3_best_f437323a8d.webp
OpenHardware,"The initiative fosters innovation in open-source hardware, embedded systems, and machine learning. By enabling hands-on collaboration, it empowers students to solve real engineering challenges and contribute to the open-source community.",Technology & Research,https://open-hardware-initiative.com,https://www.tum.de/fileadmin/user_upload_87/_processed_/d/b/csm_openhardware_ad8936d7aa.webp
OpenSource @ TUM,"The club builds open-source apps for everyday university life at TUM – student-led, publicly available, and hands-on. Through workshops, coding sessions, and real-world projects, they create software that matters.",Academic & Education,mailto:leads@tum.dev,https://www.tum.de/fileadmin/user_upload_87/_processed_/1/7/csm_OpenSource_3_best_1799cf569e.webp
PPI Munich,The club supports new Indonesian students with a buddy program and offers tutoring for the Studienkolleg entrance exam.,International & Country-Specific,https://ppimunich.org/,
Phantum,Students develop high-performance UAVs and are building the world’s first supersonic RC airplane. The project offers hands-on experience and diverse opportunities – also for non-STEM students.,Technology & Research,https://phantum.eu/,
Philosophia Munich,"Philosophy in action: The reading group invites students to explore key texts in ethics, science & consciousness—no prior knowledge needed. Weekly, open discussions build critical thinking and connect ideas across disciplines.",Academic & Education,https://www.philosophiamunich.org/,https://www.tum.de/fileadmin/user_upload_87/_processed_/f/d/csm_Philosophia_1_best_b4c6afd5ff.webp
Photum,"The initiative opens the door to the world of photonics. Through expert talks, networking events, and hands-on projects, it promotes knowledge of light and quantum technologies to foster innovation, technical skills, and science communication.",Academic & Education|Technology & Research,https://photum.org/,
Plant a Seed,"Plant a Seed brings sustainability to campus, creates meeting spaces, and jointly promotes the sustainable transformation of urban spaces.",Sustainability & Health,https://umwelt.asta.tum.de/plantaseed/,
Plant-Based Universities Munich,"Students drive the shift toward plant-based, healthy, and affordable campus dining and advocate for sustainable food systems.",Sustainability & Health,https://www.pbu-munich.de/,https://www.tum.de/fileadmin/user_upload_87/_processed_/2/5/csm_DJI_20250818182056_0080_D__1__9dcd9a1d6c.webp
Praias do Isar,"The club brings Brazilian percussion and dance to campus. It provides instruments and organizes workshops and trips. Students learn samba, build friendships and explore Europe from a new perspective. All experience levels are welcome!",Culture & the Arts,https://praiasdoisar.de/,https://www.tum.de/fileadmin/_processed_/0/f/csm_Praias_do_Isar_1e4f751602.webp
Public Makers,"Public Makers connects students, public institutions, and innovators to responsibly reshape the public sector through entrepreneurship and technology.",Academic & Education,https://www.publicmakers.org/,https://www.tum.de/fileadmin/user_upload_87/_processed_/c/1/csm_Panel_gesamt-1_best_192c06d2bf.webp
PushQuantum,"PushQuantum makes quantum technology accessible: through hands-on workshops, lectures, and an active network, the club supports students from all fields on their path to careers in industry, research, and startups.",Academic & Education|Networking & Career,https://www.pushquantum.tech/,https://www.tum.de/fileadmin/user_upload_87/_processed_/0/c/csm_PQ_Hackathon_best_18969cf9a6.webp
ReparadTUM,The student initiative enables students and staff to repair their bicycles using provided tools and expert support.,Social & Diversity|Sustainability & Health,https://www.instagram.com/reparad_tum/,https://www.tum.de/fileadmin/user_upload_87/_processed_/9/5/csm_Reparadtum_3_best_3018033589.webp
Responsible Technology Hub,The club demystifies tech responsibility and creates an inclusive space for cross-generational and cross-sector co-creation. It offers young people a platform to develop responsible technology solutions.,Technology & Research,https://www.responsibletechhub.com/,
RoboTUM,The fastest humanoid robot in the world is being built here! Students connect robotics and science through hands-on projects showcased at the annual Munich Robotics Summit.,Technology & Research,https://www.robotum.info,https://www.tum.de/fileadmin/user_upload_87/_processed_/7/3/csm_Robotum_1_best_bb9ef3a70d.webp
RockYourLife! München,"The club offers one-on-one mentoring with students as “big sisters” or “big brothers” for youth from secondary schools. They support mentees in school, daily life, and career choices, ensuring that background does not determine the future.",Social & Diversity|Academic & Education,https://muenchen.rockyourlife.de/,https://www.tum.de/fileadmin/user_upload_87/_processed_/8/a/csm_Rockyourlife_2_best_78c31cb0dc.webp
SLOVO – Russian Speaking Student Club,"SLOVO provides Russian-speaking students and interested individuals a platform for cultural exchange, integration, and intercultural dialogue. Diverse events foster an open and inclusive community.",International & Country-Specific,https://www.instagram.com/slovotum/?igsh=aG1ocTFrZW9maDRh,
SOFT – School of Transformation,"SOFT combines intersectional feminism with architecture. Students and graduates challenge discriminatory structures, promote critical reflection, and aim for a fairer, more inclusive architectural scene.",Social & Diversity,mailto:soft.schooloftransformation@gmail.com,https://www.tum.de/fileadmin/user_upload_87/_processed_/9/2/csm_Bild_3_best_2bc9b95fed.webp
SRM Talks,"The initiative organizes a lecture series on sustainable resource management, welcoming participants from all fields to promote knowledge and awareness for responsible resource use.",Sustainability & Health|Academic & Education,https://www.instagram.com/srmtalks.tum/?hl=de,
STARTmunich,"The club connects students to the startup world through real venture projects, events, and mentoring. Alumni founded Trade Republic and more — joining means building skills, networks, and real opportunities to launch startups.",Business & Entrepreneurship,https://www.startmunich.de/,https://www.tum.de/fileadmin/_processed_/8/e/csm_Start_Munich_90c6bd04d8.webp
Sailsetters,"Students are committed to making a lasting impact on the lives of children from socially disadvantaged families, providing effective support through a social buddy program.",Social & Diversity|Academic & Education,https://sailsetters.de/,
Scholarship Network Munich,"In the network, scholars provide information on all questions related to scholarship awards and connect with each other to build a strong community.",Social & Diversity,https://stipendiennetzwerk.de/,
School of Circularity,"The School of Circularity drives the transition to a circular economy. Through workshops, real-world projects, and industry partnerships, it builds a network that promotes sustainable thinking and action.",Sustainability & Health|Academic & Education,https://school-of-circularity.notion.site/,https://www.tum.de/fileadmin/user_upload_87/_processed_/6/f/csm_SoC3_6dba64fc60.webp
Silicon Valley Canon Reading Club,"The reading circle critically engages with influential tech books, ranging from entrepreneurship and technology to broader issues of economics, politics, and philosophy, to make insights actionable and foster engaging discussions.",Culture & the Arts,https://silicon-valley-canon.club/,https://www.tum.de/fileadmin/user_upload_87/_processed_/c/d/csm_PHOTO-2026-01-01-22-41-56_66bc1ba1e0.webp
Sky Campus Munich,"The student initiative focuses on mental health during studies. Through workshops on meditation, breathwork, yoga, and emotional intelligence, it strengthens resilience and well-being in everyday academic life.",Sustainability & Health,https://www.instagram.com/skycampusmunich/,
Society of Sommeliers,"Munich’s first student wine club, the Society of Sommeliers, connects wine enthusiasts and offers education in tasting and winemaking. The club collaborates with wineries and sommeliers from around the world.",Networking & Career|Culture & the Arts,https://www.societyofsommeliers.de/,https://www.tum.de/fileadmin/user_upload_87/_processed_/b/b/csm_PHOTO-2026-02-04-14-51-17_19e3a9ad82.webp
StOrch Student Orchestra,"StOrch is Munich’s symphony orchestra for music-loving students. Rehearsals take place weekly at the Olympiakirche, complemented by additional rehearsal days and a shared rehearsal weekend.",Culture & the Arts,https://storch-muenchen.org/,
Strohmann,"Germany has abundant public political data, but it is fragmented and mainly designed for archiving. Strohmann is building a central platform that connects and visualizes relationships between political and economic actors.",Technology & Research,mailto:eric.warburg@mytum.de,
Studentischer Automobilverband München,"The Student Automotive Association fosters networking between students and companies in the automotive and mobility sectors, providing valuable opportunities for exchange and industry insights.",Networking & Career,https://www.sav-deutschland.de/,
Studnd,"The club brings students together to creatively shape pen-and-paper role-playing games. It blends improvisation with practical storytelling. Events like game nights, workshops and fantasy balls actively strengthen creativity, exchange and networking.",Culture & the Arts,https://studnd.club/,
Study Tutors München,"The association gives students the chance to support children from disadvantaged families with free tutoring, gain practical teaching experience, and actively contribute to greater educational equity.",Social & Diversity|Academic & Education,https://studytutors.de/standorte/muenchen,
SusTUMable Design,The working group at Campus Straubing meets weekly to creatively explore sustainable ideas in product and graphic design through brainstorming and sketching sessions.,Sustainability & Health|Culture & the Arts,https://www.instagram.com/sustumable_design/,
Synchronized Skies,Students explore innovative applications of swarm technology – from drone formations to complex systems of interconnected autonomous units.,Technology & Research,https://syncskies.com/,
TEDxTUM,TEDxTUM organizes conferences where experts from diverse fields share their ideas – ranging from personal experiences to social innovations and cutting-edge technologies.,Academic & Education,https://www.tedxtum.com/,
TEG | The Entrepreneurial Group,"The Entrepreneurial Group (TEG) shapes entrepreneurial talent into future leaders. With a focus on corporate entrepreneurship, mentoring, and an exclusive network, the club prepares its members for leadership and founding success.",Networking & Career,https://teg-ev.de,https://www.tum.de/fileadmin/user_upload_87/_processed_/5/1/csm_TEG_Bild_3_best_b03ff9708e.webp
TIDE,TIDE organizes hands-on hackathons and workshops on data analytics and business intelligence. The club connects theory with real-world application and offers students valuable technical skills and a strong network.,Technology & Research,https://tum-tide.com/,
TSM Championship,Unter dem Motto „miasantum“ verbindet das Cheer- und Volleyballteam sportlichen Ehrgeiz mit Gemeinschaft. Sie treten auf bei Events wie WHU Euromasters und Royals Cup und schaffen ein Netzwerk von Studierenden Europas führender Business Schools.,Social & Diversity,https://miasantum.de/,https://www.tum.de/fileadmin/user_upload_87/_processed_/c/5/csm_3_best_4b5a0c6267.webp
TU Investment Club,"The club educates students interested in finance, offers expert talks and training, and connects members with the financial industry. Members even manage their own student-run investment fund.",Business & Entrepreneurship|Academic & Education,https://www.tuinvest.de/,
TU Peak Seekers,"TU Peak Seekers unites students who love mountains. Shared summit hikes offer breathtaking views, nature experiences, and opportunities to build new friendships.",Sustainability & Health|Social & Diversity,https://www.linkedin.com/company/tu-peak-seekers?trk=public_post_feed-actor-name,
TU eMpower Africa e.V.,TU eMpower Africa develops sustainable water-energy-food systems to empower rural communities in Africa. Interdisciplinary projects create practical improvements in harvests and quality of life through renewable energy.,Sustainability & Health|Social & Diversity,https://de.linkedin.com/company/tu-empower-africa-e-v,https://www.tum.de/fileadmin/user_upload_87/_processed_/3/d/csm_TUempowerAfrica_3_best_735b10e7df.webp
TUM Blockchain Club,"A student-led blockchain initiative shaping Munich’s Web3 ecosystem. Through conferences, hackathons and workshops, it turns knowledge into practice – research-driven, globally connected and powered by a diverse student community.",Academic & Education|Technology & Research,https://www.tum-blockchain.com/,https://www.tum.de/fileadmin/user_upload_87/_processed_/6/6/csm_TUM_Blockchain_1_best_33c8752587.webp
TUM Book Club,"The book club is a reading circle for literature enthusiasts, where members discuss selected works from various genres in regular meetings.",Social & Diversity|Culture & the Arts,https://www.instagram.com/tum.buchclub/,
TUM Business Game,TUM Business Game gives students the chance to solve real company problems in case competitions and gain practical experience. Members can also help organize events and develop valuable skills.,Business & Entrepreneurship,https://www.tum-businessgame.com/,
TUM Carbon Removal Initiative,Students develop CO2 capture and storage technologies to combat the climate crisis and reduce atmospheric CO2 levels.,Sustainability & Health|Technology & Research,https://www.tumcarbon.com/,
TUM Case Club,"The club connects students interested in case study competitions. Through workshops, educational events, and own case studies, it prepares members for contests and fosters exchange among participants.",Networking & Career|Business & Entrepreneurship,https://www.tumcaseclub.de/,
TUM Chess Club,The club unites chess enthusiasts of all levels. Weekly meetups and tournaments offer a supportive space to improve skills and share the passion for the game.,Culture & the Arts|Social & Diversity,https://www.instagram.com/tum_chessclub/?igshid=YmMyMTA2M2Y%3D,
TUM Cycling Club,"The road cycling club offers students group rides, technique and safety training, plus workshops on training, nutrition, and bike maintenance – fostering fun, safety, and community in cycling.",Sustainability & Health|Social & Diversity,https://www.instagram.com/tumcycling,
TUM Dixieland Combo,"New Orleans jazz in Munich – featuring alumni, staff, and students from all Munich universities. Traditional Dixieland jazz is rehearsed every Tuesday in a classic lineup.",Culture & the Arts,https://tum-dixieland-combo.jimdosite.com/,https://www.tum.de/fileadmin/user_upload_87/_processed_/9/3/csm_TUM_Dixieland_Combo_fuer_Galerie_02_8f0e664668.webp
TUM Drone Racing Club,"Students build and fly FPV racing drones, compete in competitions, and develop their own hardware and software. From flight controllers to autonomous flight systems, they push the boundaries of drone technology.",Technology & Research,https://akamodell-muenchen.de/tum-drc/,https://www.tum.de/fileadmin/_processed_/f/6/csm_WhatsApp_Image_2026-07-08_at_20.57.35_3f340fcbdd.webp
TUM Green Tech Initiative,"The TUM Green Tech Initiative links sustainability with innovation. Students develop real prototypes like desalination systems, waste robots, and more – turning green ideas into future-ready solutions.",Sustainability & Health|Technology & Research,http://linktr.ee/tum_greentech,https://www.tum.de/fileadmin/user_upload_87/_processed_/6/b/csm_Green_Tech_1_best_e208bbe123.webp
TUdesign,"Students learn all about user experience (UX), user interface (UI), and design thinking, developing apps and websites for real projects. A design community for everyone who wants to creatively connect technology and user experience.",Business & Entrepreneurship|Culture & the Arts,https://tudesign.super.site/,https://www.tum.de/fileadmin/user_upload_87/_processed_/2/2/csm_TUdesign_1_best_dd426bde3c.webp
TUfast,"Students develop vehicles in motorsport, electromobility, and autonomous driving – ranging from classic race cars to energy-efficient urban concept vehicles and electric motorcycles.",Technology & Research,https://tufast.de/,
Talente Spenden,"Students create social impact through diverse projects focused on sustainability, blood donation, educational support, and more – working together to build a better, lasting future for society.",Social & Diversity,https://www.talente-spenden.com,https://www.tum.de/fileadmin/user_upload_87/_processed_/c/b/csm_Talente_3_best_c4cec23612.webp
TasteBuds Club,"The club brings people together through food, culture, and shared experiences. Through restaurant visits, cooking workshops, and international potlucks, everyone with a passion for good food can enjoy memorable culinary experiences.",Culture & the Arts|International & Country-Specific,https://www.instagram.com/tum.tastebuds,
TeXothek,"Texothek develops and provides free, collaboratively created formula collections (LaTeX & PDF) that make complex content easy to understand and enable students to learn more efficient, structured learning while simplifying everyday study life.",,https://www.texothek.de/,https://www.tum.de/fileadmin/user_upload_87/_processed_/5/4/csm_Screenshot_2026-04-24_at_08.58.46_fa227f40b3.webp
Techlabs,"TechLabs supports students in expanding their knowledge of Data Science and Artificial Intelligence through hands-on learning formats, real-world projects, and a strong link between theory and practice.",Technology & Research|Academic & Education,https://www.techlabs.org/location/munich,
Technolitics,"Technolitics empowers students to actively shape the intersection of technology, politics, and society, developing innovative solutions to current and future challenges.",Technology & Research|Academic & Education,mailto:studentclubs@tum.de,
The Bulletin,"The Bulletin is a digital notice board showcasing the diverse offerings of student organizations and TUM departments – with events, deadlines, and calls for applications all in one place.",Social & Diversity,https://www.instagram.com/thebulletintum/,
The Munich Alt Protein Project,"Munich APP familiarizes students with alternative proteins. Projects and events promote learning, exchange, and development in plant‑based, fermentation, and cell‑cultivation food solutions to advance sustainable, safe, and ethical food systems.",,https://www.linkedin.com/company/the-munich-alt-protein-project/,https://www.tum.de/fileadmin/user_upload_87/_processed_/f/6/csm_2521d874-98b4-4951-b506-35bb9bf56c39_2_c43f203a4f.webp
bdvb University Group Munich,"The student initiative of the Bundesverband Deutscher Volks- und Betriebswirte offers a platform for exchange, networking, and professional development.",Networking & Career,https://www.linkedin.com/showcase/bdvb-hochschulgruppe-muenchen/,https://www.tum.de/fileadmin/user_upload_87/_processed_/3/7/csm_bdvb_9c87915e13.webp
btS – Life Sciences student initiative,"The initiative offers guidance from the first semester to the start of a career. As an interface between university and industry, it offers a platform for networking and further development",Networking & Career,https://bts-ev.de/,
der tu film,"Tu film screens weekly blockbusters, cult classics, and hidden gems on campus. Join the team to support tech and event management and enjoy free entry. Perfect for film lovers eager to experience and shape campus cinema.",Culture & the Arts,https://www.tu-film.de,https://www.tum.de/fileadmin/user_upload_87/_processed_/7/7/csm_Filmclub_3_best_b62ec2eb97.webp
h4tum,"The club brings cybersecurity to life: thrilling CTF competitions simulate real cyberattacks to solve as a team. Students gain hands-on experience, engage in research, and regularly share the latest in security techniques and tools.",Academic & Education,https://www.sec.in.tum.de/i20/ctf,
iGEM Munich,"Students from Munich compete annually in the international iGEM competition, creating innovative solutions in synthetic biology.",Technology & Research,https://chat.whatsapp.com/CT2LwnaIrJsB46RxYHaouL,
iGEM Straubing,"Students from Straubing compete annually in the international iGEM competition, creating innovative solutions in synthetic biology.",Technology & Research,https://igem-straubing.de/,
jDPG RG Munich,"The Munich group is part of the German Physical Society and a vibrant community of young physics enthusiasts organizing exciting scientific events in and around Munich, fostering exchange, learning, and a shared passion for physics.",Networking & Career|Academic & Education,https://www.dpg-physik.de/vereinigungen/fachuebergreifend/ak/akjdpg/regional/rg-muenchen,https://www.tum.de/fileadmin/user_upload_87/_processed_/4/8/csm_KPMG_jdpg_Unternehmensbesuch_04436aa89b.webp
muniQuant,"muniQuant introduces students to quantitative finance and algorithmic trading through hands-on projects. Workshops, seminars, and team projects with real financial data build strong skills in programming, data analysis, and financial modeling.",Academic & Education|Technology & Research|Networking & Career,https://muniquant-website.vercel.app/,
neuroTUM,neuroTUM brings together students passionate about neuroengineering. They gain hands-on experience by developing a brain-computer interface that decodes brain signals into control commands using deep learning.,Technology & Research,https://www.instagram.com/neuro.tum/reels/,
peca e.V.,"The club connects people from all backgrounds with topics from business and politics. Whether through workshops or discussions, here you’ll find a space to get involved, grow personally, and give back to society.",Academic & Education|Networking & Career,https://www.peca-ev.com,https://www.tum.de/fileadmin/user_upload_87/_processed_/9/5/csm_peca_x_TUM_Bild_Archiv_540879337b.webp
planl_s studio,Students develop creative ideas and projects – from international competitions to design-build initiatives. The goal is to freely and independently realize their own projects during their studies.,Culture & the Arts|Academic & Education,https://www.instagram.com/planlosstudio/,
she.codes by TEC,"she.codes by TEC offers free coding workshops for girls aged 11–14. With female role models and team spirit, students inspire young talents to explore computer science and technology in a fun and engaging way.",Social & Diversity,https://codes.education/,https://www.tum.de/fileadmin/user_upload_87/_processed_/d/8/csm_shecodes_1_best_caec309023.webp
